lat,lon,Restaurant,Fruit and Vegetable,Grocery Store,Health and Medicine,Sweets and Snacks,Metro Station
28.545362,77.291345,50,0,0,12,0,1
28.662578,77.38058,50,0,2,50,0,0
28.645793,77.382985,50,0,6,49,1,0
28.628907,77.317984,17,0,2,8,0,1
28.642691,77.321338,50,0,3,41,0,1
28.646373,77.336501,50,0,6,50,1,0
28.610875,77.444908,20,0,0,5,0,0
28.599575,77.343277,50,1,13,50,0,0
28.667832,77.324914,50,0,12,50,0,0
28.597726,77.370105,50,1,4,39,0,1
28.563424,77.240811,50,1,15,50,0,0
28.608301,77.301658,50,0,6,50,1,0
28.630663,77.284974,50,0,10,50,0,0
28.603011,77.293276,50,0,4,44,1,0
28.567646,77.380185,50,0,2,38,0,0
28.617029,77.295337,50,0,1,50,0,0
28.646613,77.339712,50,0,6,50,1,0
28.641277,77.383572,50,0,8,50,1,0
28.694754,77.254539,2,0,0,6,0,0
28.643621,77.325114,50,0,3,43,0,1
28.637439,77.366533,50,0,11,50,0,0
28.582401,77.339484,50,0,7,50,0,0
28.602612,77.220095,50,0,4,7,0,0
28.650063,77.270292,43,0,0,21,0,0
28.646101,77.337056,50,0,6,50,1,0
28.634301,77.357801,50,0,3,50,0,0
28.595373,77.2985,42,0,2,6,0,0
28.583393,77.321125,50,0,16,50,0,0
28.610589,77.288374,50,0,3,50,0,0
28.535538,77.259323,50,0,9,50,0,0
28.645107,77.328773,50,0,4,39,0,1
28.60078,77.230737,50,1,7,14,0,0
28.598149,77.401433,22,0,3,34,0,0
28.609852,77.336134,50,0,3,41,0,0
28.597776,77.219191,50,1,6,10,0,1
28.560176,77.211329,50,0,9,50,0,0
28.612054,77.339302,50,0,3,50,0,0
28.582224,77.365165,50,0,14,50,0,0
28.554655,77.330631,50,0,0,14,0,1
28.570322,77.389766,50,0,0,3,0,0
28.597681,77.373998,50,1,0,36,0,1
28.575858,77.369773,50,0,8,50,1,0
28.626509,77.300171,50,0,3,32,0,0
28.634398,77.341678,50,0,1,50,0,0
28.63726,77.361877,50,0,7,50,0,0
28.609682,77.356869,50,0,5,50,0,0
28.62768,77.30803,45,0,4,22,0,1
28.593703,77.381803,37,0,0,17,0,0
28.562612,77.350171,50,0,5,50,0,1
28.671293,77.267385,7,0,2,17,0,0
28.543977,77.296294,50,0,2,8,0,1
28.627801,77.311009,29,0,4,13,0,1
28.589259,77.25186,50,1,2,25,0,0
28.561165,77.241339,50,3,17,50,0,0
28.550498,77.213817,50,0,6,50,0,0
28.571787,77.238333,50,1,17,50,0,0
28.647311,77.177659,50,0,4,50,0,0
28.536217,77.372818,50,0,0,9,0,0
28.609229,77.291149,50,0,4,50,1,0
28.634879,77.361921,50,0,6,50,0,0
28.638643,77.375707,50,0,14,50,1,0
28.63432,77.35496,50,0,2,50,0,0
28.649621,77.342472,50,0,7,50,1,0
28.583537,77.251947,50,3,3,34,0,1
28.59551,77.370107,50,0,4,38,0,1
28.614908,77.337476,50,0,2,45,0,0
28.649477,77.300177,50,0,3,50,0,0
28.67791,77.34758,50,0,1,50,0,0
28.565325,77.342843,50,0,7,50,0,2
28.599258,77.223308,50,1,6,12,0,0
28.574064,77.365609,50,0,8,50,1,0
28.54425,77.370442,50,0,0,13,0,0
28.526435,77.25165,42,0,2,39,0,0
28.642179,77.341967,50,0,7,50,1,0
28.628478,77.306082,47,0,4,28,0,1
28.637349,77.368703,50,0,11,50,0,0
28.632302,77.301552,50,0,4,35,0,1
28.577391,77.373238,50,0,6,50,0,0
28.651353,77.297012,50,0,2,50,0,0
28.547567,77.353826,49,0,2,31,0,0
28.585099,77.397114,32,0,3,23,0,0
28.638797,77.367925,50,0,12,50,0,0
28.594424,77.295319,32,0,1,3,0,0
28.65635,77.37304,50,0,0,50,0,0
28.600261,77.341263,50,1,14,50,0,0
28.621003,77.295062,47,0,6,50,0,0
28.530278,77.254392,44,0,9,50,0,0
28.640928,77.373797,50,0,14,50,1,0
28.582653,77.356043,50,0,12,50,0,0
28.617237,77.422915,50,0,4,11,0,0
28.631627,77.304561,46,0,4,27,0,1
28.642168,77.321063,50,0,3,42,0,1
28.652036,77.348783,50,0,8,50,0,0
28.550538,77.270108,28,0,0,4,0,0
28.599272,77.335564,50,1,10,50,0,0
28.637319,77.372799,50,0,14,50,1,0
28.640295,77.350089,50,0,3,50,1,0
28.575178,77.343241,41,0,2,50,0,0
28.559082,77.337032,50,0,5,50,0,1
28.649416,77.355739,50,0,14,50,0,0
28.652544,77.348858,50,0,8,50,0,0
28.583148,77.341643,50,0,5,50,0,0
28.595767,77.296508,37,0,1,3,0,0
28.622082,77.42792,47,0,8,22,0,0
28.610719,77.302675,50,0,6,50,1,0
28.623202,77.215494,50,2,8,33,0,4
28.56655,77.241796,50,1,16,50,0,0
28.63008,77.43488,50,0,7,25,0,0
28.570922,77.392498,50,0,0,3,0,0
28.611455,77.295179,50,0,4,50,1,0
28.565228,77.220656,50,0,4,50,0,2
28.636438,77.332851,50,1,2,50,0,0
28.641212,77.342751,50,0,6,50,1,0
28.669191,77.310887,40,0,2,25,0,0
28.607803,77.276592,3,0,0,1,0,0
28.534867,77.227126,46,0,4,20,0,0
28.598924,77.391303,23,0,1,25,0,0
28.643367,77.382427,50,0,9,50,1,0
28.635301,77.363373,50,0,6,50,0,0
28.59307,77.378338,46,0,0,24,0,1
28.635857,77.364381,50,0,7,50,0,0
28.602297,77.291849,50,0,4,43,0,0
28.644632,77.382284,50,0,8,50,1,0
28.646706,77.338998,50,0,6,50,1,0
28.562007,77.386418,41,0,0,6,0,0
28.645281,77.354134,50,0,12,50,0,0
28.632986,77.304828,44,0,5,27,0,1
28.534086,77.236721,50,0,5,37,0,0
28.697068,77.212106,50,0,2,14,0,0
28.563468,77.390334,50,0,0,2,0,0
28.571771,77.368771,50,0,7,50,1,0
28.640824,77.365646,50,0,13,50,0,0
28.598406,77.318645,50,0,5,19,0,0
28.607497,77.290366,50,0,4,50,1,0
28.638694,77.34853,50,0,3,50,1,0
28.658528,77.378722,50,0,2,32,0,0
28.630531,77.282376,50,0,10,50,0,0
28.59888,77.319112,50,0,4,19,0,0
28.602128,77.228091,50,0,6,9,0,0
28.666264,77.326337,50,0,10,50,0,0
