lat,lon,Eat and Drink,Entertainment,Transport,Leisure,Shopping,Services,Facilities
28.64192,77.29594,100,22,28,20,100,100,100
28.63145,77.29378,58,24,8,3,100,100,100
28.63768,77.28574,100,55,38,53,100,100,100
28.6379,77.3008,87,29,5,8,100,100,100
28.64135,77.29466,100,23,27,19,100,100,100
28.63575,77.28588,100,54,45,78,100,100,100
28.63594,77.29943,92,29,12,3,100,100,100
28.64306,77.29687,100,65,29,25,100,100,100
28.63395,77.30051,100,29,14,6,100,100,100
28.63789,77.28463,100,53,42,66,100,100,100
28.63738,77.30086,98,33,8,8,100,100,100
28.63996,77.29243,100,31,28,18,100,100,100
28.63767,77.28471,100,52,41,69,100,100,100
28.63453,77.28564,100,50,47,96,100,100,100
28.63794,77.30076,85,30,5,8,100,100,100
28.63337,77.28485,100,55,48,100,100,100,100
28.63324,77.2961,45,21,9,2,100,100,100
28.64139,77.2948,100,23,27,20,100,100,100
28.63569,77.29863,68,23,15,3,100,100,100
28.63385,77.29159,61,18,4,5,100,100,100
28.63982,77.2887,100,44,21,26,100,100,100
28.64293,77.29607,100,20,25,20,100,100,100
28.63466,77.29882,82,19,12,2,100,100,100
28.64007,77.29315,100,27,27,18,100,100,100
28.63131,77.29518,51,30,11,3,100,100,100
28.63255,77.29867,66,22,13,1,100,100,100
28.64232,77.29598,100,22,27,20,100,100,100
28.63218,77.28611,100,40,32,79,100,100,100
28.63942,77.29267,100,32,27,18,100,100,100
28.63435,77.29007,100,39,20,14,100,100,100
28.64322,77.28931,46,45,2,17,100,100,100
28.63574,77.30038,100,32,12,9,100,100,100
28.63681,77.2869,100,45,37,47,100,100,100
28.63668,77.28744,100,46,36,39,100,100,100
28.64025,77.29396,100,25,28,17,100,100,100
28.6368,77.29063,100,41,22,10,100,100,100
28.63256,77.29868,66,22,13,1,100,100,100
28.63485,77.28537,100,54,47,95,100,100,100
28.63592,77.29892,81,25,15,3,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.63408,77.28999,100,35,18,13,100,100,100
28.63586,77.28577,100,54,44,79,100,100,100
28.64392,77.29225,100,44,21,25,100,100,100
28.64166,77.29578,100,22,28,19,100,100,100
28.63689,77.30111,100,33,10,9,100,100,100
28.64192,77.29547,100,23,28,22,100,100,100
28.6339,77.29022,100,33,16,12,100,100,100
28.64049,77.29113,91,36,26,15,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.6331,77.29998,100,23,14,5,100,100,100
28.63037,77.29758,84,35,14,7,100,100,100
28.63297,77.2856,100,52,43,98,100,100,100
28.63825,77.29492,98,25,27,11,100,100,100
28.63823,77.28442,100,52,38,64,100,100,100
28.64119,77.29115,96,40,25,15,100,100,100
28.63853,77.28705,100,48,36,36,100,100,100
28.63677,77.30064,97,31,10,9,100,100,100
28.63683,77.29937,80,33,14,4,100,100,100
28.63688,77.29933,78,33,14,5,100,100,100
28.64282,77.29332,100,27,25,22,100,100,100
28.63476,77.28476,100,51,49,100,100,100,100
28.64025,77.29396,100,25,28,17,100,100,100
28.63789,77.28566,100,54,38,54,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.64317,77.29622,100,63,29,28,100,100,100
28.63651,77.29968,91,33,12,3,100,100,100
28.63825,77.2876,100,47,37,34,100,100,100
28.63806,77.29039,100,40,26,14,100,100,100
28.63737,77.30085,98,33,8,8,100,100,100
28.64095,77.29105,92,40,25,15,100,100,100
28.62958,77.29221,54,29,6,5,100,100,100
28.63349,77.29978,100,23,14,4,100,100,100
28.64128,77.29141,100,41,27,17,100,100,100
28.63868,77.28487,100,52,36,49,100,100,100
28.63202,77.29862,66,22,12,3,100,100,100
28.63633,77.28388,100,60,49,100,100,100,100
28.63356,77.29843,68,18,13,2,100,100,100
28.63419,77.29852,73,14,12,2,100,100,100
28.641,77.28615,100,60,16,28,100,100,100
28.63856,77.28702,100,49,36,37,100,100,100
28.63312,77.30028,100,26,14,5,100,100,100
28.63662,77.28626,100,50,41,56,100,100,100
28.64128,77.29141,100,41,27,17,100,100,100
28.638,77.28491,100,54,38,60,100,100,100
28.64289,77.29655,100,64,28,26,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.64175,77.29168,100,40,25,18,100,100,100
28.63553,77.28591,100,51,46,80,100,100,100
28.63311,77.29941,95,20,13,3,100,100,100
28.63504,77.29765,43,20,14,3,100,100,100
28.63342,77.28543,100,51,43,100,100,100,100
28.63756,77.28422,100,47,43,74,100,100,100
28.63816,77.28556,100,52,37,52,100,100,100
28.64011,77.29106,100,36,25,13,100,100,100
28.6335,77.30033,100,29,14,6,100,100,100
28.63725,77.28576,100,53,40,64,100,100,100
28.64287,77.29613,100,20,25,20,100,100,100
28.63876,77.2878,100,48,27,36,100,100,100
28.63563,77.29198,92,27,13,7,100,100,100
28.63163,77.28813,82,34,11,21,100,100,100
